"%IncMSE","IncNodePurity"
92.8423664653969,1931233.9507849
36.5733946014238,158977.279875651
66.291744483875,1759826.21140127
82.8332804882464,1703017.07425485
2.69475120103214,776244.331920165
55.0026095392903,1777434.97838488
15.1524490919673,203408.356126439
76.0490742282284,1706097.49682229
78.2536622574694,1867140.04303949
80.7662983849396,1719115.18274939
36.4476615470458,1446352.16357863
70.0161491719994,1658712.02517349
39.0085405694759,1527910.26300859
13.0624869036277,155137.561009925
58.2799866323629,185057.29615375
44.761397006091,307951.023889478
42.5222845602267,290306.764179921
40.8857817798685,294998.733461558
43.4733787346792,319815.173310458
40.2573981562437,223115.79190775
72.802019774033,606376.216627839
33.6042983619212,127600.319478503
50.4790767263651,313339.042696965
62.24445310537,327876.736290266
33.6353638667845,103654.486453659
42.1974510647415,150189.873916053
